address,sum,threshold
0.9987395968009148,0.9987395968009148,0.54
0.9987201060297948,0.9987201060297948,0.59
0.9987395968009148,0.9987395968009148,0.64
0.9987395968009148,0.9987395968009148,0.69
0.9987460937246214,0.9987460937246214,0.74
0.998752590648328,0.998752590648328,0.79
0.9987655844957412,0.9987655844957412,0.84
0.9987850752668612,0.9987850752668612,0.89
0.9987720814194478,0.9987720814194478,0.9
0.9987655844957412,0.9987655844957412,0.91
0.9987720814194478,0.9987720814194478,0.92
0.9987590875720348,0.9987590875720348,0.93
0.9987266029535016,0.9987266029535016,0.94
0.9986811244875552,0.9986811244875552,0.95
0.9986421429453154,0.9986421429453154,0.96
0.9985187013948896,0.9985187013948896,0.97
0.9982913090651576,0.9982913090651576,0.98
0.9975506597626024,0.9975506597626024,0.99
